inchikey,activity_comment,assay_chembl_id,canonical_smiles,data_validity_comment,document_chembl_id,document_journal,molecule_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_pref_name,type,units,value,isomeric_smiles,np_score,short_inchikey,wikidata_id
ONYFNWIHJBLQKE-ZETCQYMHSA-N,,CHEMBL848735,CC(=N)NCCCC[C@H](N)C(=O)O,Outside typical range,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL7889,=,=,Selectivity,uM,5.6,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,5.6,CC(=N)NCCCC[C@H](N)C(=O)O,1.194843523141831,ONYFNWIHJBLQKE,http://www.wikidata.org/entity/Q27132940
ONZUDCUAXKSVCD-UHFFFAOYSA-N,,CHEMBL1955555,COc1ccc(N)c(C2=NN(C(=O)C3CCCC3)C(C)(C)S2)c1,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951502,=,=,Inhibition,%,64.97,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,64.97,COc1ccc(N)c(C2=NN(C(=O)C3CCCC3)C(C)(C)S2)c1,-0.5152393626839131,ONZUDCUAXKSVCD,no_wikidata_match
OOOHDCHGOXCPHM-AZUAARDMSA-N,317255,CHEMBL3707765,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NCCNCCc2ccccc2)c1,,CHEMBL3639091,Unknown journal,CHEMBL1187747,=,=,Ki,nM,5400.0,CHEMBL4481,"Nitric oxide synthase, inducible",Ki,nM,5400.0,Cc1cc(N)nc(C[C@H]2CNC[C@H]2NCCNCCc2ccccc2)c1,-0.1861239973466654,OOOHDCHGOXCPHM,no_wikidata_match
OOOHDCHGOXCPHM-ICSRJNTNSA-N,317252,CHEMBL1285558,Cc1cc(N)nc(C[C@H]2CNC[C@@H]2NCCNCCc2ccccc2)c1,,CHEMBL1275378,J Med Chem,CHEMBL1277786,=,=,Ki,nM,88.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,0.088,Cc1cc(N)nc(C[C@H]2CNC[C@@H]2NCCNCCc2ccccc2)c1,-0.1861239973466654,OOOHDCHGOXCPHM,no_wikidata_match
OOQNOBCRTYFLII-NTEVMMBTSA-N,,CHEMBL4153940,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)Cc2ccc(O)cc2)c1.Cl.Cl,,CHEMBL4152230,Eur J Med Chem,CHEMBL4163633,>,>,IC50,nM,10000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,10.0,CC(=N)NCc1cccc(CNC(=O)[C@@H](N)Cc2ccc(O)cc2)c1.Cl.Cl,0.2146158928956704,OOQNOBCRTYFLII,no_wikidata_match
OOUCIUZOGLWLAN-NDDUEHJASA-N,,CHEMBL942189,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,,CHEMBL1152257,Bioorg Med Chem,CHEMBL487767,>,>,IC50,nM,50000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,50.0,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,2.8365356852883554,OOUCIUZOGLWLAN,http://www.wikidata.org/entity/Q105195597
OOYDMIAELWXDRH-KLXURFKVSA-N,,CHEMBL3881542,C[C@](N)(CS(=O)(=O)CCNC(=N)N)C(=O)O.Cl.Cl,,CHEMBL3881523,Unknown journal,CHEMBL3933622,=,=,IC50,nM,12000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,12.0,C[C@](N)(CS(=O)(=O)CCNC(=N)N)C(=O)O.Cl.Cl,0.0251904718254333,OOYDMIAELWXDRH,no_wikidata_match
OPJSETLEPOTHPU-CUGSBJROSA-N,,CHEMBL3858690,C=C(C)[C@@]1(O)[C@@H]2OC3(c4ccccc4)O[C@H]1[C@@H](C)[C@@]1(O3)[C@H]2[C@H](O)[C@@](C)(OC(=O)c2ccccc2)[C@@H](OC(C)=O)[C@@]2(O)[C@H]1C[C@H](C)[C@@H]2O,,CHEMBL3856242,Bioorg Med Chem Lett,CHEMBL3912438,>,>,IC50,nM,30000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,30.0,C=C(C)[C@@]1(O)[C@@H]2OC3(c4ccccc4)O[C@H]1[C@@H](C)[C@@]1(O3)[C@H]2[C@H](O)[C@@](C)(OC(=O)c2ccccc2)[C@@H](OC(C)=O)[C@@]2(O)[C@H]1C[C@H](C)[C@@H]2O,1.950953080477685,OPJSETLEPOTHPU,no_wikidata_match
OPKCBCPSRYBLIJ-DBOLQNLKSA-N,,CHEMBL2344057,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCN[C@H]2C[C@@H]2c2cccc(F)c2)c1,,CHEMBL2331549,Bioorg Med Chem,CHEMBL2332793,=,=,Ki,nM,10200.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,10.2,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCN[C@H]2C[C@@H]2c2cccc(F)c2)c1,-0.5072517895163037,OPKCBCPSRYBLIJ,http://www.wikidata.org/entity/Q27467688
OPKCBCPSRYBLIJ-JPXCIIHESA-N,,CHEMBL2344057,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNC2CC2c2cccc(F)c2)c1,,CHEMBL2331549,Bioorg Med Chem,CHEMBL2332794,=,=,Ki,nM,16000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,16.0,Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCNC2CC2c2cccc(F)c2)c1,-0.5072517895163037,OPKCBCPSRYBLIJ,no_wikidata_match
OPYUYMBLDGZFAE-UHFFFAOYSA-N,,CHEMBL1955555,CCC(=O)N1N=C(c2ccccc2N)SC1(C)C,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951514,=,=,Inhibition,%,19.24,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,19.24,CCC(=O)N1N=C(c2ccccc2N)SC1(C)C,-0.5228563132407777,OPYUYMBLDGZFAE,no_wikidata_match
OQIBCXRAFAHXMM-KLXURFKVSA-N,,CHEMBL701153,CC(=N)NCCCC[C@H](N)C(=O)O.Cl.Cl,,CHEMBL1135576,J Med Chem,CHEMBL1744034,=,=,IC50,nM,5900.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,5.9,CC(=N)NCCCC[C@H](N)C(=O)O.Cl.Cl,1.035531053389587,OQIBCXRAFAHXMM,http://www.wikidata.org/entity/Q27132937
OQNBJPXPXUUCPJ-UHFFFAOYSA-N,,CHEMBL2013393,COc1c(O)cc2oc(-c3ccc([N+](=O)[O-])cc3)cc(=O)c2c1O,,CHEMBL2010724,Bioorg Med Chem Lett,CHEMBL2013188,=,=,Inhibition,%,45.7,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,45.7,COc1c(O)cc2oc(-c3ccc([N+](=O)[O-])cc3)cc(=O)c2c1O,0.7490813271368292,OQNBJPXPXUUCPJ,no_wikidata_match
OQYPAQURYOEEGO-UHFFFAOYSA-N,,CHEMBL845032,CC1CCC(N)=NC1,,CHEMBL1131208,J Med Chem,CHEMBL269330,=,=,Selectivity,nM,0.9,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,0.9,CC1CCC(N)=NC1,1.2242275019165252,OQYPAQURYOEEGO,http://www.wikidata.org/entity/Q82461449
OQZWXHOVWRHBCY-UHFFFAOYSA-N,,CHEMBL2013393,COc1c(O)cc2oc(-c3ccc(Cl)c(Cl)c3)cc(=O)c2c1O,,CHEMBL2010724,Bioorg Med Chem Lett,CHEMBL2013194,=,=,Inhibition,%,13.1,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,13.1,COc1c(O)cc2oc(-c3ccc(Cl)c(Cl)c3)cc(=O)c2c1O,0.8547367284370826,OQZWXHOVWRHBCY,no_wikidata_match
ORKFLBDYLQRQJV-LURJTMIESA-N,,CHEMBL4380146,COCC(=N)NCCC[C@H](N)C(=O)O,,CHEMBL4376856,J Med Chem,CHEMBL4442120,=,=,Inhibition,%,75.0,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,75.0,COCC(=N)NCCC[C@H](N)C(=O)O,0.5251329069261287,ORKFLBDYLQRQJV,no_wikidata_match
ORLGLBZRQYOWNA-UHFFFAOYSA-N,,CHEMBL848735,Cc1ccnc(N)c1,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL40833,=,=,Selectivity,nM,0.4,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,0.4,Cc1ccnc(N)c1,-0.043867378721075,ORLGLBZRQYOWNA,http://www.wikidata.org/entity/Q24755764
ORTIUFQWFBWZOS-UHFFFAOYSA-N,,CHEMBL960400,CCCCn1nc(C(=O)c2cc(OC)ccc2N)cc1C(=O)OCC,,CHEMBL1140983,Eur J Med Chem,CHEMBL523961,=,=,Inhibition,%,20.5,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,20.5,CCCCn1nc(C(=O)c2cc(OC)ccc2N)cc1C(=O)OCC,-0.9399181385278322,ORTIUFQWFBWZOS,no_wikidata_match
ORUBIRMKJHZHDH-UHFFFAOYSA-N,,CHEMBL3599211,O=c1oc2ccccc2n1CCCCCCN1CCN(CCCCn2c(=O)oc3ccccc32)CC1,,CHEMBL3596194,Bioorg Med Chem,CHEMBL3597263,=,=,IC50,nM,1770.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,1.77,O=c1oc2ccccc2n1CCCCCCN1CCN(CCCCn2c(=O)oc3ccccc32)CC1,-0.7726537085576946,ORUBIRMKJHZHDH,no_wikidata_match
OSAKXIAFCPXTGN-UHFFFAOYSA-N,,CHEMBL3579718,C#CC1(C#C)C=CC(=O)C(C#N)=C1,,CHEMBL3576826,J Med Chem,CHEMBL3577125,=,=,IC50,nM,210.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,nM,210.0,C#CC1(C#C)C=CC(=O)C(C#N)=C1,0.5119382065595384,OSAKXIAFCPXTGN,no_wikidata_match
OSILBMSORKFRTB-UHFFFAOYSA-N,,CHEMBL848735,Nc1nccc2ccccc12,,CHEMBL1133138,Bioorg Med Chem Lett,CHEMBL62083,=,=,Selectivity,nM,0.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,0.3,Nc1nccc2ccccc12,-0.3106681076520818,OSILBMSORKFRTB,http://www.wikidata.org/entity/Q27287501
OSNUXCHNXGTCLF-UHFFFAOYSA-N,,CHEMBL840777,Br.Br.Br.N=C(CN)Nc1cccc(CN)c1,,CHEMBL1131040,J Med Chem,CHEMBL542675,=,=,Selectivity,nM,18.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,18.0,Br.Br.Br.N=C(CN)Nc1cccc(CN)c1,-0.6234457613054749,OSNUXCHNXGTCLF,no_wikidata_match
OSVDASPOJSNGSL-UHFFFAOYSA-N,,CHEMBL1023690,NC(=O)c1ccc(-c2cc(Cl)ccc2N)[nH]1,,CHEMBL1158377,Eur J Med Chem,CHEMBL555283,=,=,Inhibition,%,5.34,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,5.34,NC(=O)c1ccc(-c2cc(Cl)ccc2N)[nH]1,-0.7284495826549813,OSVDASPOJSNGSL,no_wikidata_match
OSWDNIFICGLKEE-UHFFFAOYSA-N,,CHEMBL1664436,CC(=O)C1CCCC1=O,,CHEMBL1649420,J Med Chem,CHEMBL305069,=,=,Inhibition,%,29.0,CHEMBL3464,"Nitric oxide synthase, inducible",INH,%,29.0,CC(=O)C1CCCC1=O,0.5773490205506999,OSWDNIFICGLKEE,http://www.wikidata.org/entity/Q82854405
OSWKVCNKIGCJLV-UHFFFAOYSA-N,,CHEMBL3881545,CC(N)(CSCCNC(=N)N)C(=O)O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,,CHEMBL3881523,Unknown journal,CHEMBL3967477,=,=,IC50,nM,700.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,0.7,CC(N)(CSCCNC(=N)N)C(=O)O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,-0.1360758052736142,OSWKVCNKIGCJLV,no_wikidata_match
OTBYFKCGABTGED-UHFFFAOYSA-N,,CHEMBL840777,CC(=N)Nc1ccc(CCN)cc1.Cl.Cl,,CHEMBL1131040,J Med Chem,CHEMBL538767,=,=,Selectivity,nM,10.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,10.0,CC(=N)Nc1ccc(CCN)cc1.Cl.Cl,-0.1052661030875867,OTBYFKCGABTGED,no_wikidata_match
OTKWRERYYAYGSY-UHFFFAOYSA-N,,CHEMBL964272,Cc1cc(N)nc(CCCCF)c1,,CHEMBL1153433,J Med Chem,CHEMBL509542,=,=,IC50,nM,170.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,nM,170.0,Cc1cc(N)nc(CCCCF)c1,-0.5524590385583693,OTKWRERYYAYGSY,no_wikidata_match
OTLKZLMHFSZTIF-UHFFFAOYSA-N,,CHEMBL1023690,COc1ccc(N)c(-c2ccc(C(N)=O)[nH]2)c1,,CHEMBL1158377,Eur J Med Chem,CHEMBL559957,=,=,Inhibition,%,8.95,CHEMBL3051,"Nitric oxide synthase, inducible",INH,%,8.95,COc1ccc(N)c(-c2ccc(C(N)=O)[nH]2)c1,-0.3202369062927352,OTLKZLMHFSZTIF,no_wikidata_match
OTLLMGWJZKFCGF-UHFFFAOYSA-N,,CHEMBL665579,NC1=NC(c2ccccc2)Cc2cccc(F)c21,Outside typical range,CHEMBL1134020,Bioorg Med Chem Lett,CHEMBL414608,=,=,IC50,nM,550.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,0.55,NC1=NC(c2ccccc2)Cc2cccc(F)c21,-0.3845196389090443,OTLLMGWJZKFCGF,no_wikidata_match
OTPOCUKTIKRWEM-UHFFFAOYSA-N,,CHEMBL3801317,CCNC(=O)NCCC(O)c1ccccc1N,,CHEMBL3797128,Medchemcomm,CHEMBL3799648,=,=,Inhibition,%,18.34,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,18.34,CCNC(=O)NCCC(O)c1ccccc1N,-0.7499584445741999,OTPOCUKTIKRWEM,no_wikidata_match
OUAFMLDGDMRISR-UHFFFAOYSA-N,,CHEMBL1786326,N=C(N)C1CCCO1,,CHEMBL1781991,Bioorg Med Chem Lett,CHEMBL1783090,=,=,IC50,nM,8900.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,8.9,N=C(N)C1CCCO1,0.3619603639743001,OUAFMLDGDMRISR,http://www.wikidata.org/entity/Q82569196
OUPIIHIYKFVYHE-DMLYUBSXSA-N,,CHEMBL921238,Cc1ccccc1NC(=O)[C@@H]1C[C@H](NC(=O)CCCCCNC(=N)N[N+](=O)[O-])CN1.Cl,Outside typical range,CHEMBL1143872,Bioorg Med Chem,CHEMBL537915,=,=,IC50,nM,119000.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,119.0,Cc1ccccc1NC(=O)[C@@H]1C[C@H](NC(=O)CCCCCNC(=N)N[N+](=O)[O-])CN1.Cl,-0.8369533935928002,OUPIIHIYKFVYHE,no_wikidata_match
OVYPGMNOGVFUHS-UHFFFAOYSA-N,,CHEMBL1056371,CC1=CC=CC2=NCC(C(=O)c3ccc(C)cc3)CN12.[O-][Cl+3]([O-])([O-])O,,CHEMBL1152488,Eur J Med Chem,CHEMBL550045,=,=,Activity,%,400.0,CHEMBL3464,"Nitric oxide synthase, inducible",Activity,%,400.0,CC1=CC=CC2=NCC(C(=O)c3ccc(C)cc3)CN12.[O-][Cl+3]([O-])([O-])O,-0.3550916587106361,OVYPGMNOGVFUHS,no_wikidata_match
OWBCLDZZBREDER-FLVLSHQESA-N,,CHEMBL5046509,COC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccccc1Cl,,CHEMBL5046219,J Med Chem,CHEMBL5083240,=,=,Ratio IC50,nM,102.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,nM,102.0,COC(=O)[C@H](Cc1ccccc1)NC(=O)/C=C/c1ccccc1Cl,-0.5533492804863792,OWBCLDZZBREDER,no_wikidata_match
OWDHMDSJMALDNK-UHFFFAOYSA-N,,CHEMBL840777,CC(=N)Nc1ccc(C(=N)N)cc1.Cl.Cl,,CHEMBL1131040,J Med Chem,CHEMBL543380,=,=,Selectivity,nM,26.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,26.0,CC(=N)Nc1ccc(C(=N)N)cc1.Cl.Cl,-0.3399629517905601,OWDHMDSJMALDNK,no_wikidata_match
OWOUSMCEPYMWHU-CRCLSJGQSA-N,,CHEMBL840781,NC(=O)[C@H](N)NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-],,CHEMBL1145940,J Med Chem,CHEMBL152645,=,=,Selectivity,,55.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,,55.0,NC(=O)[C@H](N)NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-],0.2309936804083299,OWOUSMCEPYMWHU,no_wikidata_match
OYECHSSBZMLDNG-JTQLQIEISA-N,,CHEMBL699600,N/C(=N\CCC[C@H](N)CNCc1ccccn1)N[N+](=O)[O-],Outside typical range,CHEMBL1136776,J Med Chem,CHEMBL45119,=,=,Ki,nM,154000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,154.0,N/C(=N\CCC[C@H](N)CNCc1ccccn1)N[N+](=O)[O-],-0.703949171239738,OYECHSSBZMLDNG,no_wikidata_match
OYECJOXIHLYZQR-AWEZNQCLSA-N,,CHEMBL1918240,C=CCOC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)O,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915175,=,=,Survival,%,134.9,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,134.9,C=CCOC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)O,-0.1877547895881908,OYECJOXIHLYZQR,no_wikidata_match
OYECJOXIHLYZQR-CQSZACIVSA-N,,CHEMBL1918240,C=CCOC(=O)N1Cc2[nH]c3ccccc3c2C[C@@H]1C(=O)O,,CHEMBL1914395,Bioorg Med Chem,CHEMBL1915177,=,=,Survival,%,134.5,CHEMBL3464,"Nitric oxide synthase, inducible",Survival,%,134.5,C=CCOC(=O)N1Cc2[nH]c3ccccc3c2C[C@@H]1C(=O)O,-0.1877547895881908,OYECJOXIHLYZQR,no_wikidata_match
OZIBQKYYCZDPRI-UHFFFAOYSA-N,,CHEMBL4052047,CNCc1cccc(CCc2ccc3c(C)cc(N)nc3c2)c1.Cl.Cl,,CHEMBL4049447,J Med Chem,CHEMBL4074659,=,=,Ki,nM,4540.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,4.54,CNCc1cccc(CCc2ccc3c(C)cc(N)nc3c2)c1.Cl.Cl,-0.1404338517982559,OZIBQKYYCZDPRI,no_wikidata_match
OZJMNUREDLPRDT-UHFFFAOYSA-N,,CHEMBL832395,N=C1SCC2CCCN12,,CHEMBL1137191,Bioorg Med Chem Lett,CHEMBL360669,>,>,IC50,nM,50000.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,50.0,N=C1SCC2CCCN12,-0.1435114935498444,OZJMNUREDLPRDT,no_wikidata_match
OZKQLKLYMOLRRV-UHFFFAOYSA-N,,CHEMBL1955555,CC1(C)SC(c2ccccc2N)=NN1C(=O)C1CCC1,,CHEMBL1949563,Eur J Med Chem,CHEMBL1951518,=,=,Inhibition,%,46.9,CHEMBL4481,"Nitric oxide synthase, inducible",INH,%,46.9,CC1(C)SC(c2ccccc2N)=NN1C(=O)C1CCC1,-0.554349569289955,OZKQLKLYMOLRRV,no_wikidata_match
OZKWQEANJUXOIL-JZGIKJSDSA-N,,CHEMBL3881542,CC[C@](N)(CSCCNC(=N)N)C(=O)O.Cl.Cl,,CHEMBL3881523,Unknown journal,CHEMBL3899623,=,=,IC50,nM,3400.0,CHEMBL4481,"Nitric oxide synthase, inducible",IC50,uM,3.4,CC[C@](N)(CSCCNC(=N)N)C(=O)O.Cl.Cl,0.052805670223047,OZKWQEANJUXOIL,no_wikidata_match
PAHCIPUHHRNMSE-IUCAKERBSA-N,,CHEMBL852582,NCCCC[C@H](NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])C(N)=O,Outside typical range,CHEMBL1133106,J Med Chem,CHEMBL88107,=,=,Ratio,nM,231.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,231.0,NCCCC[C@H](NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-])C(N)=O,0.4320974793861958,PAHCIPUHHRNMSE,no_wikidata_match
PAHRBTYOMQPLOY-XFULWGLBSA-N,,CHEMBL1763068,N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1.O=C(O)C(=O)O,,CHEMBL1759901,Bioorg Med Chem Lett,CHEMBL1762479,=,=,Ratio IC50,nM,35.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio IC50,uM,35.0,N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1.O=C(O)C(=O)O,-0.608464853333011,PAHRBTYOMQPLOY,no_wikidata_match
PBDAGTFBHOXKCK-JHEYCYPBSA-N,,CHEMBL840182,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-].O=C(O)C(F)(F)F,,CHEMBL1130132,J Med Chem,CHEMBL1202113,=,=,Selectivity,nM,1.1,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,1.1,COC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-].O=C(O)C(F)(F)F,0.10737133818135,PBDAGTFBHOXKCK,no_wikidata_match
PBDAGTFBHOXKCK-QNTKWALQSA-N,,CHEMBL840182,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-].O=C(O)C(F)(F)F,Outside typical range,CHEMBL1130132,J Med Chem,CHEMBL1204424,=,=,Selectivity,nM,22.1,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,22.1,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC/N=C(\N)N[N+](=O)[O-].O=C(O)C(F)(F)F,0.10737133818135,PBDAGTFBHOXKCK,no_wikidata_match
PBGQMSTUSZWGFJ-UHFFFAOYSA-N,,CHEMBL4672120,CN(C)c1cccc2c(S(=O)(=O)Oc3cccc4oc(=O)n(CCc5ccccc5)c34)cccc12,,CHEMBL4665856,Bioorg Med Chem,CHEMBL4790627,=,=,IC50,nM,14720.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,14.72,CN(C)c1cccc2c(S(=O)(=O)Oc3cccc4oc(=O)n(CCc5ccccc5)c34)cccc12,-0.9981354909461456,PBGQMSTUSZWGFJ,no_wikidata_match
PBIHHFZRICJQBU-KZYPOYLOSA-N,,CHEMBL699602,NCCC[C@@H](NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-])C(N)=O.O=C(O)C(F)(F)F,Outside typical range,CHEMBL1132345,J Med Chem,CHEMBL2092929,=,=,Ki,nM,103000.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,103.0,NCCC[C@@H](NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-])C(N)=O.O=C(O)C(F)(F)F,0.2875684956779901,PBIHHFZRICJQBU,no_wikidata_match
PBIHHFZRICJQBU-WSZWBAFRSA-N,,CHEMBL852582,NCCC[C@H](NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-])C(N)=O.O=C(O)C(F)(F)F,,CHEMBL1133106,J Med Chem,CHEMBL1202106,=,=,Ratio,nM,294.0,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Ratio,uM,294.0,NCCC[C@H](NC(=O)[C@@H](N)CCC/N=C(/N)N[N+](=O)[O-])C(N)=O.O=C(O)C(F)(F)F,0.2875684956779901,PBIHHFZRICJQBU,no_wikidata_match
PBPNWBVAUDNSBW-UHFFFAOYSA-N,,CHEMBL840777,Br.CC(=N)Nc1ccc(C(C)O)cc1,,CHEMBL1131040,J Med Chem,CHEMBL542677,>,>,Selectivity,nM,1.3,CHEMBL2096621,Nitric oxide sythases; iNOS & nNOS,Selectivity,uM,1.3,Br.CC(=N)Nc1ccc(C(C)O)cc1,-0.1505344264243857,PBPNWBVAUDNSBW,no_wikidata_match
PBTKCCHMNHRFDH-UHFFFAOYSA-N,,CHEMBL3130554,Cl.Cl.Nc1ccc2ccc(CCNCCCc3cccc(F)c3)cc2n1,,CHEMBL3124831,J Med Chem,CHEMBL3216378,=,=,Ki,nM,31900.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,uM,31.9,Cl.Cl.Nc1ccc2ccc(CCNCCCc3cccc(F)c3)cc2n1,-0.7236621857922653,PBTKCCHMNHRFDH,no_wikidata_match
PBZPORJXTWDATQ-CXQXIBKHSA-N,,CHEMBL3858690,C=C(C)[C@@]1(OC(C)=O)[C@H](OC(C)=O)[C@@H]2[C@H](OC(C)=O)[C@@]3(C)O[C@@]4([C@@H]3OC(=O)c3ccccc3)[C@@H](OC(C)=O)[C@@H](C)C[C@H]4[C@@]2(O)[C@H](C)[C@@H]1OC(=O)c1ccccc1,,CHEMBL3856242,Bioorg Med Chem Lett,CHEMBL3893391,=,=,IC50,nM,7500.0,CHEMBL3464,"Nitric oxide synthase, inducible",IC50,uM,7.5,C=C(C)[C@@]1(OC(C)=O)[C@H](OC(C)=O)[C@@H]2[C@H](OC(C)=O)[C@@]3(C)O[C@@]4([C@@H]3OC(=O)c3ccccc3)[C@@H](OC(C)=O)[C@@H](C)C[C@H]4[C@@]2(O)[C@H](C)[C@@H]1OC(=O)c1ccccc1,1.567950381551245,PBZPORJXTWDATQ,http://www.wikidata.org/entity/Q27137521
PCZHQQZLOICWTK-VOTSOKGWSA-N,,CHEMBL699692,COc1cc(OC)c(/C=C/C(=O)c2ccc(F)cc2F)c(OC)c1,,CHEMBL1135187,Bioorg Med Chem Lett,CHEMBL61544,=,=,Inhibition,%,59.0,CHEMBL3464,"Nitric oxide synthase, inducible",Inhibition,%,59.0,COc1cc(OC)c(/C=C/C(=O)c2ccc(F)cc2F)c(OC)c1,-0.5082174259944792,PCZHQQZLOICWTK,no_wikidata_match
PDIACSYIIWCGFI-UHFFFAOYSA-N,,CHEMBL3820408,COCCN(C)c1cncc(CCc2cc(C)cc(N)n2)c1,,CHEMBL3817743,J Med Chem,CHEMBL3818649,=,=,Ki,nM,18233.0,CHEMBL3464,"Nitric oxide synthase, inducible",Ki,nM,18233.0,COCCN(C)c1cncc(CCc2cc(C)cc(N)n2)c1,-0.9664471902609364,PDIACSYIIWCGFI,http://www.wikidata.org/entity/Q27467176
